"All Websites","Tüm Websiteler"
"Apply Discounts To FPT","İndirimleri FPT\'ye uygula"
"Apply Tax To FPT","FPT'ye vergi uygula"
"Display Prices In Emails","E-postalerda Fiyatları Göster"
"Display Prices In Product Lists","Ürün Listelerinde Fiyatları Göster"
"Display Prices In Sales Modules","Satış Modüllerinde Fiyat Göster"
"Display Prices On Product View Page","Ürün Gösterim Sayfasında Fiyat Göster"
"Enable FPT","FPT Aktif et"
"Excluding FPT","FPT Hariç Tutuluyor"
"Excluding FPT, FPT description, final price","FPT Hariç Tutuluyor, FPT açıklaması, son fiyat"
"Fixed Product Tax","Sabit Ürün Vergisi"
"Fixed Product Taxes","Sabit Ürün Vergileri"
"Include FPT In Subtotal","FPT Ara Toplama Eklensin"
"Including FPT and FPT description","FPT ve FPT açıklaması dahil"
"Including FPT and FPT description [incl. FPT VAT]","FPT ve FPT açıklaması içerir [FPT Vergi Dahil]"
"Including FPT only","Sadece FPT Dahil"
"Total","Toplam"
"Total Incl. Tax","Vergi dahil toplam"
"Total excl. tax","Vergi Hariç Toplam"
"Total incl. tax","Vergi dahil toplam"
