"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"2Day","2Gün"
"2nd Day Air","2.Gün Uçak Kargo"
"2nd Day Air AM","2. Gün Uçak Kargo AM"
"3 Day Select","3 Gün Seçimli"
"<br />Warning: <strong>%s</strong><br />","<br />Dikkat: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Dikkat!</strong> Bu seçenek satıcı tarafından teslimat ücreti hesaplamayı devreden çıkarır. Bu seçenek açıkken Google API teslimat hesaplamaz."
"A virtual item to reflect the discount total","İndirim toplamı yansıtılmış bir sanal ürün"
"A virtual item to reflect the tax total","Vergi toplamını gösterecek sanal ürün"
"AVS Status: %s","AVS Durumu: %s"
"Add Shipping Method","Teslimat Yöntemi Ekle"
"Allowed Methods","İzin Verilen Yöntemler"
"Amount: %s","Tutar: %s"
"Auto-generated from GoogleCheckout Charge","GoogleCheckout tahsilatıyla otomatik oluşturuldu"
"Buyer Account Age: %s days","Alıcı Hesap Ömrü: %s gün"
"CC Partial: xxxx-%s","K.K. Numara Sonu: xxxx-%s"
"CID Status: %s","CID Durumu: %s"
"Carrier Calculated Methods","Taşıyıcı Tarafından Hesaplanan Yöntemler"
"Cart Discount","Sepet İndirimi"
"Checkout Image Style","Alışveriş Bitim Resminin Stili"
"Commercial","Ticari"
"Continue Shopping URL","Alışverişe Devam URL"
"Credit memo has been created automatically","İade Kaydı otomatik olarak oluşturuldu"
"Debug","Hata Ayıklama"
"Default Package Height (in)","Varsayılan Paket Yüksekliği (inç)"
"Default Package Length (in)","Varsayılan Paket Uzunluğu (inç)"
"Default Package Width (in)","Varsayılan Paket Genişliği (inç)"
"Default Price for Methods","Yöntemler için Varsayılan Ücret"
"Default price:","Varsayılan Fiyat:"
"Delivery Address Category","Teslimat Adresi Kategorisi"
"Delivery Schedule","Teslim Takvimi"
"Description-based delivery","Açıklama temelli teslimat"
"Disable Default Tax Tables","Varsayılan Vergi Tablolarını devre dışı bırak"
"Discount Tax","İndirim Vergi"
"Eligible for Protection: %s","Korumaya Uygun: %s"
"Email delivery","E-posta teslimatı"
"Enable","Aktif et"
"Enable Carrier Calculated","Taşıyıcı Tarafından Hesaplanan Tarifeleri Kullan"
"Enable Digital Delivery","Sayısal Teslimati Aktif et"
"Enable Flat Rate","Sabit Fiyat Kullan"
"Enable Merchant Calculated","Satıcı Hesap Edilenleri Aktif et"
"Enable this if your checkout request is too big and being cut off.","Eğer alışveriş sonlandırma talebi çok büyük ve kesilmeye uğruyorsa bu özelliği aktif ediniz."
"Expiration: %s","Bitiş: %s"
"Express Mail","Express Posta"
"Express Saver","Express Ekonomik"
"FedEx","FedEx"
"Financial: %s -> %s","Finansal: %s -> %s"
"First Overnight","İlk Gece"
"Free Shipping","Ücretsiz Kargo"
"Fulfillment: %s -> %s","Tamamlama: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Kullanıcı Onayı:"
"Google Buyer ID: %s","Google Müşteri No: %s"
"Google Charge:","Google Tahsilatı:"
"Google Chargeback:","Google Geri Ödeme:"
"Google Checkout","Google Ödeme"
