"* Select shipping method","* Teslimat Yöntemini Seçiniz"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Teslimat - Taşıyıcı Hesaplandı"
"Google Checkout Shipping - Digital Delivery","Google Checkout Teslimat - Sayısal Teslimat"
"Google Checkout Shipping - Flat Rate","Google Checkout Teslimat - Sabit Fiyat"
"Google Checkout Shipping - Merchant Calculated","Google Checkout Teslimat - Satıcı Hesaplandı"
"Google Checkout: %s","Google Ödeme: %s"
"Google Order Number: %s","Google Sipariş No: %s"
"Google Order Status Change:","Google Sipariş Durum Değişimi:"
"Google Refund:","Google Geri Ödeme:"
"Google Risk Information:","Google Risk Bilgisi:"
"GoogleCheckout is not configured","GoogleCheckout yapılandırılmadı"
"Ground","Yer Kargosu"
"Hide Cart Contents","Sepet içeriğini gizle"
"Home Delivery","Kapıya Teslim"
"IP Address: %s","IP Adres: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Aktif ederseniz, alışveriş sepetinde Google Checkout butonuna tıklandığında sepet içerikleri gizlenecektir. Eğer ""Sepeti Düzenle"" linki aktf edilmişte eski haline geri dönecektir."
"Inches","İnç"
"Invoice Auto-Created: %s","Otomatik Oluştutulan Fatura: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","Alıcı Tanıtım E-postaları Almak İstiyor mu: %s"
"Key/URL delivery","Anahtar/URL teslimatı"
"Large - %s","Geniş - %s"
"Latest Charge: %s","Son tahsilat: %s"
"Latest Chargeback: %s","Son Geri Ödeme: %s"
"Latest Refund: %s","Son İade: %s"
"Location","Konum"
"Media Mail","Medya E-posta"
"Medium - %s","Orta - %s"
"Merchant ID","Satıcı No"
"Merchant Key","Satıcı Anahtarı"
"Method","Yöntem"
"New Order Status","Yeni Sipariş Durumu"
"Next Day Air","Sonraki Gün Hava Kargosu"
"Next Day Air Early AM","Sonraki Gün Erken Hava Kargosu"
"Next Day Air Saver","Sonraki Gün Hava Kargosu / Ekonomik"
"No","Hayır"
"No Comment","Yorum Yok"
"No Reason","Sebep yok"
"Optimistic","İyimser"
"Optional, leave empty for home page.","Opsiyoneldir, ana sayfa için boş bırakınız."
"Order creation error","Sipariş oluşturma hatası"
"Parcel Post","Paket Postası"
"Pessimistic","Kötümser"
"Priority Mail","Öncelikli E-posta"
"Priority Overnight","Öncelikle Gecelik"
"Rate 1 Amount","Oran 1 Tutar"
"Rate 1 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 1 "
"Rate 1 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 1"
"Rate 1 Title","Oran 1 Başlık"
"Rate 2 Amount","Oran 2 Tutar"
"Rate 2 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 2 "
"Rate 2 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 2"
"Rate 2 Title","Oran 2 Başlık"
"Rate 3 Amount","Oran 3 Tutar"
"Rate 3 Ship To Applicable Countries","Tüm Ülkelere Teslimat İçin Oran 3 "
"Rate 3 Ship to Specific Countries","Belirlenen Ülkelere Teslimat İçin Oran 3"
"Rate 3 Title","Oran 3 Başlık"
"Required for live Google Checkout transactions. Make sure that this option corresponds to Use Secure URLs in Frontend (""Web"" > ""Secure"").","Gerçek Google Checkout işlemleri için gereklidir. (""Web"" > ""Güvenli"") 'Ön Sayfada Güvenli Adresler Kullan' seçeneği açık olduğundan emin olunuz ."
"Residential","Yerleşik"
"Sandbox","Test Ortamı"
"Secure Callback URL","Güvenli Geri Çağrım URL"
"Small - %s","Küçük - %s"
"Standard Overnight","Standart Gecelik"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","Vergi toplamı Google Checkout'tan alınan bilgilerle hesaplanacak, çünkü sistemde hesaplanan ve Google Checkout'ta hesaplanan vergi arasında fark var."
"Title","Başlık"
"Total Chargeback: %s","Toplam İade Edilen: %s"
"Total Charged: %s","Toplam Tahsilat: %s"
"Total Refunded: %s","Toplam İade Edilenler: %s"
"Transparent","Saydam"
"UPS","UPS"
"USPS","USPS"
"United Kingdom","İngiltere"
"United States","ABD"
"Unknown Reason","Bilinmeyen Sebep"
"White Background","Beyaz Arka Plan"
"Yes","Evet"
"You will be redirected to GoogleCheckout in a few seconds.","Birkaç saniye içinde GoogleCheckout sayfasına yönlendirileceksiniz."
