"%d Catalog Price Rules based on ""%s"" attribute have been disabled."," ""%s"" özelliği üzerinden oluşturulan %d promosyon kuralları devre dışı kaldı."
"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Yeni Kural Ekle"
"An error occurred while deleting the rule. Please review the log and try again.","Kural silinirken bir hata meydana geldi. Lütfen işlemi kontrol edip tekrar deneyiniz."
"An error occurred while saving the rule data. Please review the log and try again.","Kural kaydedilirken bir hata meydana geldi. Lütfen işlemi kontrol edip tekrar deneyiniz.."
"Apply","Uygula"
"Apply Rules","Kuralları Uygula"
"Attribute Set","Özellik Seti"
"By Fixed Amount","Sabit Tutar ile"
"By Percentage of the Original Price","Orijinal Fiyatın Yüzdesi"
"Catalog","Katalog"
"Catalog Price Rule","Katalog Fiyat Kuralı"
"Catalog Price Rules","Katalog Fiyat Kuralları"
"Category","0"
"Conditions","Koşullar"
"Conditions (leave blank for all products)","Koşullar (bütün ürünler için boş bırakınız)"
"Conditions Combination","Koşullar listesi"
"Customer Groups","Müşteri Grupları"
"Date Expire","Bitiş Tarihi"
"Date From","Başlangıç Tarihi"
"Date Start","Başlangıç Tarihi"
"Date To","Son Tarih"
"Description","Açıklama"
"Discount Amount","İndirim Tutarı"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Enable Discount to Subproducts","Alt Ürünlere de indirim uygula"
"From Date","Başlama Tarihi"
"General Information","Genel Bilgi"
"ID","No"
"Inactive","Pasif"
"New Rule","Yeni Kural"
"No","Hayır"
"Options","Seçenekler"
"Priority","Öncelik"
"Product Attribute","Ürün Özellikleri"
"Promotions","Promosyonlar"
"Rule Information","Kural Bilgisi"
"Rule Name","Kural Adı"
"Save and Apply","Kaydet ve Uygula"
"Save and Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Status","Durum"
"Stop Further Rules Processing","Önceki Kuralların Çalışmasını Durdur"
"The rule has been deleted.","Kural Silindi"
"The rule has been saved.","Kural kaydedildi."
"The rules have been applied.","Kurallar uygulandı."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Güncelleme yapılıp uygulanmamış kural(lar) var. Kuralların mağazadaki etkisini görmek için lütfen Kuralları Uygula işlemi yapınız."
"This rule no longer exists.","Vergi kuralı bulunamıyor."
"To Date","Son Tarih"
"To Fixed Amount","Sabit Tutara"
"To Percentage of the Original Price","Orijinal Fiyatın Yüzdesi için"
"Unable to apply rules.","Kurallar uygulanamadı."
"Unable to find a rule to delete.","Silmek istediğiniz kural bulunamadı."
"Update Prices Using the Following Information","Aşağıdaki bilgiyi kullanarak fiyatları güncelle"
"Update product's %s %s: %s","Ürünü güncelle  %s %s: %s"
"Website","Websitesi"
"Websites","Websiteleri"
"Wrong rule specified.","Hatalı kural seçimi."
"Yes","Evet"
